

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    90.00000 -0.151234E+02  0.709093E+01 -0.151265E+02  0.709093E+01 -0.226742E+01   -271.999   -258.007   -200.017      90
    91.00000 -0.151934E+02  0.722795E+01 -0.151965E+02  0.722795E+01 -0.240067E+01   -272.174   -262.417   -204.878      91
    92.00000 -0.152514E+02  0.746043E+01 -0.152545E+02  0.746043E+01 -0.252643E+01   -292.288   -278.448   -210.019      92
    93.00000 -0.153314E+02  0.771776E+01 -0.153345E+02  0.771776E+01 -0.264454E+01   -304.787   -293.238   -215.208      93
    94.00000 -0.154714E+02  0.779137E+01 -0.154744E+02  0.779137E+01 -0.275491E+01   -277.063   -281.065   -220.475      94
    95.00000 -0.154194E+02  0.803729E+01 -0.154235E+02  0.803729E+01 -0.285672E+01   -349.228   -310.456   -225.672      95
    96.00000 -0.153848E+02  0.833153E+01 -0.153893E+02  0.833153E+01 -0.295024E+01   -406.367   -348.383   -230.712      96
    97.00000 -0.155848E+02  0.860294E+01 -0.155892E+02  0.860294E+01 -0.303785E+01   -331.668   -345.083   -235.771      97
    98.00000 -0.155848E+02  0.879333E+01 -0.155887E+02  0.879333E+01 -0.311731E+01   -406.035   -367.871   -241.156      98
    99.00000 -0.155620E+02  0.908218E+01 -0.155668E+02  0.908218E+01 -0.318986E+01   -481.361   -407.817   -247.817      99
   100.00000 -0.155620E+02  0.937698E+01 -0.155669E+02  0.937698E+01 -0.325856E+01   -547.952   -453.437   -254.317     100
   101.00000 -0.155388E+02  0.968275E+01 -0.155440E+02  0.968275E+01 -0.332242E+01   -679.423   -513.573   -260.738     101
   102.00000 -0.155031E+02  0.999229E+01 -0.155084E+02  0.999229E+01 -0.338242E+01   -916.045   -598.254   -267.151     102
   103.00000 -0.154804E+02  0.103333E+02 -0.154865E+02  0.103333E+02 -0.343854E+01  -1223.689   -705.074   -273.570     103
   104.00000 -0.154503E+02  0.106746E+02 -0.154546E+02  0.106708E+02 -0.349080E+01  -2338.523   -899.098   -279.990     104
   105.00000 -0.154298E+02  0.110265E+02 -0.154284E+02  0.109860E+02 -0.353919E+01  -6195.373  -1253.493   -286.408     105
   106.00000 -0.154199E+02  0.113594E+02 -0.154174E+02  0.112497E+02 -0.358371E+01 -10377.242  -1737.494   -292.838     106
   107.00000 -0.154141E+02  0.117185E+02 -0.154116E+02  0.114931E+02 -0.362431E+01 -13527.509  -2223.854   -299.330     107
   108.00000 -0.154141E+02  0.118771E+02 -0.154116E+02  0.116012E+02 -0.366106E+01 -10581.936  -2578.469   -306.283     108
   109.00000 -0.154106E+02  0.122035E+02 -0.154081E+02  0.117956E+02 -0.369585E+01 -13298.959  -2763.618   -314.501     109
   110.00000 -0.154106E+02  0.125526E+02 -0.154081E+02  0.119821E+02 -0.372878E+01 -11183.819  -3021.057   -322.250     110
   111.00000 -0.153979E+02  0.128871E+02 -0.153954E+02  0.121459E+02 -0.375995E+01 -57606.621  -4202.674   -329.666     111
   112.00000 -0.153685E+02  0.132232E+02 -0.153894E+02  0.122969E+02 -0.378941E+01-100000.000  -5294.586   -336.786     112
